CoinName,Algorithm,ProofType,TotalCoinSupply,TotalCoinsMined,Class
CypherPunkCoin,QuBit,PoW,0.0,6365285.0,1
OmniCron,Scrypt,PoW,3371337.0,10140044.443029301,1
Vtorrent,Scrypt,PoW/PoS,20000000.0,11604722.0,0
GreenCoin,Scrypt,PoW,10000000000.0,4610340640.89,1
Cryptonite,M7 POW,PoW,1840000000.0,708506520.0,1
MasterCoin,Scrypt,PoW,619478.0,619478.0,1
SoonCoin,SHA-256,PoW,21000000.0,12462620.0,1
1Credit,Scrypt,PoW,92000000000.0,88213.0,1
IslaCoin,X11,PoW/PoS,0.0,1513704.0,0
Nexus,SHA3,PoW/nPoS,78000000.0,63657220.0,0
MarsCoin ,X11,PoW,33000000.0,32221574.820996,1
Crypto,Lyra2RE,PoW,65789100.0,13742738.0,1
Anarchists Prime,SHA-256,PoW,53760000.0,14747200.0002,1
Droidz,QUAIT,PoW/PoS,5060000.0,8568038.35935056,0
BowsCoin,X11,PoW,21000000.0,15863837.5,1
Squall Coin,X11,PoS/PoW,0.0,329200.01639,0
